period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,0.9,277,0,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.26590731475,0,198,198,0,52.6496483205
1,1,2,1,gerd,0.9,79,0,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.26590731475,0,198,198,0,52.6496483205
2,2,3,1,gerd,0.9,47.599999999999994,166.6,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.26590731475,0,198,198,0,52.6496483205
3,3,4,1,gerd,0.9,16.19999999999999,166.6,0,0,0,0,0,0,0,198,70.387230375,0.070387230375,0.26590731475,0,198,198,0,52.6496483205
4,4,5,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,182.79999999999998,64.983766225,0.064983766225,0.26590731475,0,182.79999999999998,182.79999999999998,0,48.6078571363
5,5,6,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
6,6,7,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
7,7,8,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
8,8,9,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
9,9,10,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
10,10,11,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
11,11,12,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
12,12,13,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
13,13,14,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
14,14,15,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
15,15,16,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
16,16,17,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
17,17,18,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
18,18,19,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
19,19,20,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
20,20,21,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
21,21,22,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
22,22,23,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
23,23,24,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
24,24,25,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
25,25,26,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
26,26,27,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
27,27,28,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
28,28,29,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
29,29,30,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
30,30,31,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
31,31,32,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
32,32,33,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
33,33,34,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
34,34,35,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
35,35,36,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
36,36,37,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
37,37,38,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
38,38,39,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
39,39,40,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
40,40,41,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
41,41,42,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
42,42,43,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
43,43,44,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
44,44,45,1,gerd,0.9,0,166.6,0,0,0,0,0,0,0,166.6,59.2248110125,0.059224811012499996,0.26590731475,0,166.6,166.6,0,44.30015863735
