period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,merowe,0.9,184.95999999999998,1.96,0,0,0,0,0,0,0,216,35.4804597,0.035480459699999994,0.068661259975,0,216,216,0,14.830832154599998
1,1,2,1,merowe,0.9,0,1.96,0,0,0,0,0,0,0,186.92,30.703738551499995,0.030703738551499996,0.068661259975,0,186.92,186.92,0,12.834162714526997
2,2,3,1,merowe,0.9,0,1.96,0,0,0,0,0,0,0,1.96,0.3219523195,0.0003219523195,0.068661259975,0,1.96,1.96,0,0.134576069551
3,3,4,1,merowe,0.9,0,74.96000000247999,0,0,0,0,0,0,0,74.96000000247999,12.313033607407366,0.012313033607407367,0.068661259975,0,74.96000000247999,74.96000000247999,0,5.146848047896278
4,4,5,1,merowe,0.9,0,136.24000000248,0,0,0,0,0,0,0,136.24000000248,22.37897143340737,0.02237897143340737,0.068661259975,0,136.24000000248,136.24000000248,0,9.35441005916428
5,5,6,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
6,6,7,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
7,7,8,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
8,8,9,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
9,9,10,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
10,10,11,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
11,11,12,1,merowe,0.9,0,143.56000000248,0,0,0,0,0,0,0,143.56000000248,23.581364789907365,0.023581364789907366,0.068661259975,0,143.56000000248,143.56000000248,0,9.857010482181279
12,12,13,1,merowe,0.9,0,180.88000000248016,0,0,0,0,0,0,0,180.88000000248016,29.711599771407393,0.02971159977140739,0.068661259975,0,180.88000000248016,180.88000000248016,0,12.419448704448289
13,13,14,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
14,14,15,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
15,15,16,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
16,16,17,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
17,17,18,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
18,18,19,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
19,19,20,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
20,20,21,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
21,21,22,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
22,22,23,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
23,23,24,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
24,24,25,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
25,25,26,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
26,26,27,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
27,27,28,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
28,28,29,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
29,29,30,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
30,30,31,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
31,31,32,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
32,32,33,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
33,33,34,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
34,34,35,1,merowe,0.9,0,183.00000000248005,0,0,0,0,0,0,0,183.00000000248005,30.059833912907376,0.030059833912907376,0.068661259975,0,183.00000000248005,183.00000000248005,0,12.565010575595283
