period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,roseires,0.9,119.84,7.84,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
1,1,2,1,roseires,0.9,0,7.84,0,0,0,0,0,0,0,127.68,21.285922224,0.021285922224,0.056849150050000005,0,127.68,127.68,0,7.2584994783840004
2,2,3,1,roseires,0.9,70.84,205.84,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
3,3,4,1,roseires,0.9,141.68,205.84,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
4,4,5,1,roseires,0.9,212.51999999999998,205.84,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
5,5,6,1,roseires,0.9,283.36,205.84,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
6,6,7,1,roseires,0.9,339,190.64,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
7,7,8,1,roseires,0.9,378.44000000000005,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
8,8,9,1,roseires,0.9,417.8800000000001,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,0,135,135,0,7.67463525675
9,9,10,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,37.320000000000164,172.32000000000016,172.32000000000016,0,7.67463525675
10,10,11,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
11,11,12,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
12,12,13,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
13,13,14,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
14,14,15,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
15,15,16,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
16,16,17,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
17,17,18,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
18,18,19,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
19,19,20,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
20,20,21,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
21,21,22,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
22,22,23,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
23,23,24,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
24,24,25,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
25,25,26,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
26,26,27,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
27,27,28,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
28,28,29,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
29,29,30,1,roseires,0.9,420,174.44,0,0,0,0,0,0,0,135,22.50626175,0.02250626175,0.056849150050000005,39.440000000000055,174.44000000000005,174.44000000000005,0,7.67463525675
