period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,1,1,431.2,47.04,11.76,106.69,282.74999999407004,0,282.74999999407004,0,1167.7,199.40106611250002,0.19940106611250002,0,1167.7,1167.7,0,121.25171290443751
1,1,2,1,499.79999999999995,47.04,11.76,106.69,282.74999999407004,0,282.74999999407004,0,1199.9,193.404005438,0.19340400543800002,0,1199.9,1199.9,0,118.83890768599849
2,2,3,1,1068.0000000000002,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1163.86000000248,164.242558732,0.164242558732,0,1163.86000000248,1163.86000000248,0,106.5554568193885
3,3,4,1,1133.6800000024803,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1060.14000000496,130.13404936740733,0.13013404936740733,0,1060.14000000496,1060.14000000496,0,81.64909446426128
4,4,5,1,1202.2800000024802,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1026.84000000496,111.20245864215738,0.11120245864215739,0,1026.84000000496,1026.84000000496,0,66.50231749491803
5,5,6,1,1209.60000000248,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1017.9600000049601,106.64589678615737,0.10664589678615737,0,1017.9600000049601,1017.9600000049601,0,62.697219418985036
6,6,7,1,1194.40000000248,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1017.9600000049601,106.64589678615737,0.10664589678615737,0,1017.9600000049601,1017.9600000049601,0,62.697219418985036
7,7,8,1,1178.2000000024802,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1017.9600000049601,106.64589678615737,0.10664589678615737,0,1017.9600000049601,1017.9600000049601,0,62.697219418985036
8,8,9,1,1178.2000000024802,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1017.9600000049601,106.64589678615737,0.10664589678615737,0,1017.9600000049601,1017.9600000049601,0,62.697219418985036
9,9,10,1,1178.2000000024802,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1017.9600000049601,106.64589678615737,0.10664589678615737,37.320000000000164,1055.2800000049604,1055.2800000049604,0,62.697219418985036
10,10,11,1,1394.2000000024802,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1233.9600000049602,165.42695688615737,0.16542695688615738,39.440000000000055,1273.4000000049602,1273.4000000049602,0,100.84612742388504
11,11,12,1,1402.4400000024802,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1242.2000000049602,157.51328453565736,0.15751328453565736,39.440000000000055,1281.6400000049603,1281.6400000049603,0,95.71015406841053
12,12,13,1,1256.9200000024803,47.04,11.76,106.69,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1096.6800000049602,113.30951546115739,0.11330951546115739,39.440000000000055,1136.1200000049603,1136.1200000049603,0,65.60582365833353
13,13,14,1,1593.0400000049603,47.04,104.46000000000001,13.99,282.74999999407004,230.29999999752002,52.44999999655002,349.8000000050073,1171.8000000074403,133.52357084083226,0.13352357084083227,39.440000000000055,1211.2400000074404,1211.2400000074404,0,78.64430351305603
14,14,15,1,1654.3200000049603,47.04,104.46000000000001,13.99,282.74999999407004,230.29999999752002,52.44999999655002,349.8000000050073,1233.0800000074403,150.19997529883227,0.15019997529883228,39.440000000000055,1272.5200000074403,1272.5200000074403,0,89.46729000629804
15,15,16,1,1661.6400000049603,47.04,104.46000000000001,13.99,282.74999999407004,230.29999999752002,52.44999999655002,349.8000000050073,1240.4000000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1279.8400000074403,1279.8400000074403,0,90.76011411090855
16,16,17,1,1492.2400000049602,47.04,103.35999999999994,15.090000000000066,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1240.4000000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1279.8400000074403,1279.8400000074403,0,90.76011411090855
17,17,18,1,1405.5400000049603,47.04,16.66,101.78999999999999,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1240.4000000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1279.8400000074403,1279.8400000074403,0,90.76011411090855
18,18,19,1,1528.0400000049603,63,16.66,101.78999999999999,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1346.9400000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1386.3800000074402,1386.3800000074402,0,90.76011411090855
19,19,20,1,1528.0400000049603,63,16.66,101.78999999999999,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1346.9400000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1386.3800000074402,1386.3800000074402,0,90.76011411090855
20,20,21,1,1528.0400000049603,63,16.66,101.78999999999999,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1346.9400000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1386.3800000074402,1386.3800000074402,0,90.76011411090855
21,21,22,1,1528.0400000049603,63,16.66,101.78999999999999,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1346.9400000074402,152.19200011333226,0.15219200011333225,39.440000000000055,1386.3800000074402,1386.3800000074402,0,90.76011411090855
22,22,23,1,1565.3600000049605,63,16.66,101.78999999999999,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1384.2600000074403,162.3480610528323,0.16234806105283228,39.440000000000055,1423.7000000074404,1423.7000000074404,0,97.35139766064407
23,23,24,1,1783.4800000049604,63,104.46000000000001,13.99,282.74999999407004,190.19999999752,92.54999999655004,284.1818181856324,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
24,24,25,1,1754.4000000049602,63,104.46000000000001,13.99,282.74999999407004,161.11999999751998,121.62999999655004,236.59636363931264,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
25,25,26,1,1569.4400000049602,63,18.62,99.83,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
26,26,27,1,1642.4400000074404,63,91.62000000248,26.829999997520012,282.74999999407004,61.99999999752001,220.74999999655003,74.4,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
27,27,28,1,1703.7200000074404,63,104.46000000000001,13.99,282.74999999407004,110.44000000000001,172.30999999407,153.66545455095394,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
28,28,29,1,1711.0400000074403,63,104.46000000000001,13.99,282.74999999407004,117.76,164.98999999407002,165.64363636935352,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
29,29,30,1,1711.0400000074403,63,104.46000000000001,13.99,282.74999999407004,117.76,164.98999999407002,165.64363636935352,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
30,30,31,1,1711.0400000074403,63,104.46000000000001,13.99,282.74999999407004,117.76,164.98999999407002,165.64363636935352,1386.3800000074402,162.92498627233226,0.16292498627233226,39.440000000000055,1425.8200000074403,1425.8200000074403,0,97.72582212809955
31,31,32,1,1817.58000000744,63,118.45,0,282.74999999407004,137.76000000020002,144.98999999387001,187.64363636935352,1458.93000000724,162.92498627233226,0.16292498627233226,39.440000000000055,1498.3700000072402,1498.3700000072402,0,97.72582212809955
32,32,33,1,1817.58000000744,63,118.45,0,282.74999999407004,137.76000000020002,144.98999999387001,187.64363636935352,1458.93000000724,162.92498627233226,0.16292498627233226,39.440000000000055,1498.3700000072402,1498.3700000072402,0,97.72582212809955
33,33,34,1,1817.58000000744,63,118.45,0,282.74999999407004,137.76000000020002,144.98999999387001,187.64363636935352,1458.93000000724,162.92498627233226,0.16292498627233226,39.440000000000055,1498.3700000072402,1498.3700000072402,0,97.72582212809955
34,34,35,1,1817.58000000744,63,118.45,0,282.74999999407004,137.76000000020002,144.98999999387001,187.64363636935352,1458.93000000724,162.92498627233226,0.16292498627233226,39.440000000000055,1498.3700000072402,1498.3700000072402,0,97.72582212809955
35,35,36,1,1854.9000000074402,63,118.45,0,282.74999999407004,175.0800000002002,107.66999999386987,248.71272727955503,1458.93000000724,162.92498627233226,0.16292498627233226,39.440000000000055,1498.3700000072402,1498.3700000072402,0,97.72582212809955
36,36,37,1,1857.02000000744,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1458.93000000724,162.92498627233226,0.16292498627233226,39.440000000000055,1498.3700000072402,1498.3700000072402,0,97.72582212809955
37,37,38,1,1929.5700000072402,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1491.9300000047601,168.3456120594249,0.1683456120594249,39.440000000000055,1531.3700000047602,1531.3700000047602,0,99.99164370710427
38,38,39,1,1929.5700000072402,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1491.9300000047601,168.3456120594249,0.1683456120594249,39.440000000000055,1531.3700000047602,1531.3700000047602,0,99.99164370710427
39,39,40,1,1929.5700000072402,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1491.9300000047601,168.3456120594249,0.1683456120594249,39.440000000000055,1531.3700000047602,1531.3700000047602,0,99.99164370710427
40,40,41,1,1929.5700000072402,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1491.9300000047601,168.3456120594249,0.1683456120594249,39.440000000000055,1531.3700000047602,1531.3700000047602,0,99.99164370710427
41,41,42,1,1929.5700000072402,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1491.9300000047601,168.3456120594249,0.1683456120594249,39.440000000000055,1531.3700000047602,1531.3700000047602,0,99.99164370710427
42,42,43,1,1929.5700000072402,63,118.45,0,282.74999999407004,177.20000000020008,105.54999999386997,252.18181818870883,1491.9300000047601,168.3456120594249,0.1683456120594249,39.440000000000055,1531.3700000047602,1531.3700000047602,0,99.99164370710427
